9/21/2019, 1:48 PM, Matthew, 999-99, 1234, admin, success
9/21/2019, 2:13 PM, Matt, 123, 12, Not A User, Unsuccessful
9/21/2019, 2:13 PM, Matt, 123, 12, Not A User, Unsuccessful
9/21/2019, 2:13 PM, Matt, 123, 12, Not A User, Unsuccessful
9/21/2019, 2:21 PM, Matt Johnson, 000-00-0000, 0000, , Unsuccessful
9/21/2019, 2:21 PM, Matt Johnson, 000-00-0000, 0000, , Unsuccessful
9/21/2019, 2:21 PM, Matt Johnson, 000-00-0000, 0000, , Unsuccessful
9/21/2019, 2:32 PM, Matt Johnson, 000-00-0000, 123, Not A User, Unsuccessful
9/21/2019, 2:32 PM, Matt Johnson, 000-00-0000, 123, Not A User, Unsuccessful
9/21/2019, 3:04 PM, Matt Johnson, 000-00-0000, 012, Not A User, Unsuccessful
9/21/2019, 3:04 PM, Matt Johnson, 000-00-0000, 012, Not A User, Unsuccessful
9/21/2019, 3:07 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 3:07 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 3:13 PM, Matt Johnson, 000-00-0000, 0000, admin, Unsuccessful
9/21/2019, 3:16 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 8:22 PM, don williams, 8675309, 1234, admin, Unsuccessful
9/21/2019, 8:23 PM, don, 464, 4664, Not A User, Unsuccessful
9/21/2019, 8:24 PM, Matt Johnson, 464, 4664, admin, Unsuccessful
9/21/2019, 8:24 PM, Bud Wilkinson, 111-11-1111, 4664, Not A User, Unsuccessful
9/21/2019, 8:25 PM, Bud Wilkinson, 111-11-1111, 4664, Not A User, Unsuccessful
9/21/2019, 8:26 PM, Bud Wilkinson, 111-11-1111, 1234, admin, Unsuccessful
9/21/2019, 8:42 PM, Matt Johnson, 45464, 8675, Type, Unsuccessful
9/21/2019, 8:43 PM, Matt Johnson, 45464, 8675, Type, Unsuccessful
9/21/2019, 8:53 PM, Matt Johnson, 4326, 235, Type, Unsuccessful
9/21/2019, 9:00 PM, Matt Johnson, 6464, 445, Type, Unsuccessful
9/21/2019, 9:01 PM, Matt Johnson, 6464, 445, Type, Unsuccessful
9/21/2019, 9:03 PM, Matt Johnson, 867, 564, Not A User, Unsuccessful
9/21/2019, 9:05 PM, Matt Johnson, 123124, 214214, admin, Unsuccessful
9/21/2019, 9:05 PM, Don Williams, 123124, 214214, Not A User, Unsuccessful
9/21/2019, 9:05 PM, Barry Switzer, 123124, 214214, user, Unsuccessful
9/21/2019, 9:06 PM, Bud Wilkinson, 111-11-1111, 1111, user, Unsuccessful
9/21/2019, 9:06 PM, Bud Wilkinson, 111-11-1111, 1111, user, Unsuccessful
9/21/2019, 9:06 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 9:06 PM, Bud Wilkingson, 111-11-1111, 1111, Not A User, Unsuccessful
9/21/2019, 9:07 PM, Bud Wilkinson, 111-11-1111, 1111, user, Unsuccessful
9/21/2019, 9:07 PM, Bud Wilkinson, 111-11-1111, 1111, user, Unsuccessful
9/21/2019, 9:07 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 9:07 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 9:08 PM, Bud Wilkinson, 111-11-1111, 195, user, Unsuccessful
9/21/2019, 9:08 PM, Bud Wilkinson, 111-11-1111, 195, user, Unsuccessful
9/21/2019, 9:08 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 9:21 PM, Bud Wilkinson, 124124, 123, Not A User, Unsuccessful
9/21/2019, 9:21 PM, Bud Wilkinson, 124124, 123, Not A User, Unsuccessful
9/21/2019, 9:22 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 9:36 PM, Don Williams , 124, 1232, Not A User, Unsuccessful
9/21/2019, 9:36 PM, Don Williams , 124, 1232, Not A User, Unsuccessful
9/21/2019, 9:36 PM, Don Williams , 124, 1232, Not A User, Unsuccessful
9/21/2019, 9:38 PM, Don , 123124, 123123, Not A User, Unsuccessful
9/21/2019, 9:57 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 9:57 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 9:59 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:00 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 10:00 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 10:01 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:03 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 10:04 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:05 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:06 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:06 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 10:07 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:37 PM, Don Williams, 664, 6191, Not A User, Unsuccessful
9/21/2019, 10:37 PM, Don Williams, 664, 6191, Not A User, Unsuccessful
9/21/2019, 10:37 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:38 PM, Bud Wilkinson, 111-11-1111, 195, user, Unsuccessful
9/21/2019, 10:38 PM, Bud Wilkinson, 111-11-1111, 195, user, Unsuccessful
9/21/2019, 10:38 PM, Bud Wilkinson, 111-11-1111, 195, user, Unsuccessful
9/21/2019, 10:38 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
9/21/2019, 10:38 PM, Matt Johnson, 000-00-0000, 0000, admin, Successful
9/21/2019, 11:04 PM, Bud Wilkinson, 111-11-1111, 1956, user, Successful
